wl,n
0.2,1.901626171
0.2065,1.88903992
0.2133,1.877600413
0.2203,1.867330762
0.2275,1.858078307
0.2349,1.849715697
0.2426,1.842041975
0.2505,1.835081052
0.2587,1.828677071
0.2672,1.822783847
0.2759,1.817416924
0.285,1.81241432
0.2943,1.807851545
0.3039,1.803639218
0.3139,1.799711389
0.3241,1.796119735
0.3347,1.792768499
0.3457,1.789644394
0.357,1.786758203
0.3687,1.784067535
0.3807,1.781579759
0.3932,1.779241562
0.406,1.777079172
0.4193,1.775047755
0.433,1.773154395
0.4472,1.771377037
0.4618,1.769720228
0.477,1.768154978
0.4926,1.76669572
0.5087,1.765325606
0.5253,1.764038696
0.5425,1.762822451
0.5602,1.761679195
0.5786,1.760592068
0.5975,1.75956896
0.617,1.758599794
0.6372,1.757676305
0.6581,1.7567957
0.6796,1.755958809
0.7018,1.755158366
0.7248,1.75438823
0.7485,1.753649154
0.773,1.752935367
0.7983,1.752244492
0.8244,1.751574107
0.8513,1.750921778
0.8792,1.750280595
0.9079,1.749653048
0.9377,1.749030555
0.9683,1.748417327
1,1.747805233
1.033,1.74718875
1.066,1.746589531
1.101,1.745969152
1.137,1.745343832
1.175,1.744694417
1.213,1.744052861
1.253,1.743383109
1.294,1.742699823
1.336,1.74200073
1.38,1.741266876
1.425,1.740512549
1.471,1.739735433
1.52,1.7388989
1.569,1.738051507
1.621,1.737138549
1.674,1.736191845
1.728,1.735208909
1.785,1.734149726
1.843,1.733047713
1.904,1.731860894
1.966,1.73062407
2.03,1.729313763
2.097,1.727904205
2.165,1.726432818
2.236,1.724851446
2.309,1.723176312
2.385,1.721378086
2.463,1.71947375
2.543,1.717457471
2.627,1.715270264
2.712,1.712982556
2.801,1.710505467
2.893,1.707855445
2.987,1.705052252
3.085,1.702025114
3.186,1.698791511
3.29,1.695338947
3.398,1.691619115
3.509,1.687650416
3.624,1.683379968
3.742,1.678826681
3.865,1.673891561
3.991,1.668631535
4.122,1.662937942
4.257,1.656824518
4.396,1.650261957
4.54,1.643168287
4.688,1.635555091
4.842,1.627274852
5,1.618386428
