w,n
236.196319,2.577309134
239.8773006,2.589592975
243.5582822,2.600341729
247.2392638,2.609555394
250.9202454,2.623374323
254.601227,2.634123076
261.9631902,2.644874969
269.3251534,2.651021598
276.6871166,2.638747175
280.3680982,2.624934524
284.0490798,2.61419205
287.7300613,2.598844312
287.7300613,2.58656361
291.4110429,2.571215872
287.7300613,2.555861856
291.4110429,2.540514118
298.7730061,2.522099343
298.7730061,2.511353729
302.4539877,2.499076167
306.1349693,2.488333692
309.8159509,2.474521042
309.8159509,2.460705252
313.4969325,2.44842769
317.1779141,2.433079952
324.5398773,2.422340616
328.2208589,2.410063054
335.5828221,2.396253543
339.2638037,2.380905805
346.6257669,2.368631382
353.9877301,2.347146432
365.0306748,2.328734797
376.0736196,2.310323162
390.797546,2.288844491
401.8404908,2.275038119
409.202454,2.264298784
423.9263804,2.250495551
434.9693252,2.239759355
446.0122699,2.227488071
460.7361963,2.216755014
475.4601227,2.209092132
490.1840491,2.198359075
501.2269939,2.192228142
512.2699387,2.186097209
526.993865,2.178434327
545.398773,2.172309672
567.4846626,2.161582894
600.6134969,2.150865533
630.0613497,2.143215208
655.8282209,2.137096832
685.2760736,2.130981595
722.0858896,2.123337549
766.2576687,2.117234869
795.7055215,2.114189807
825.1533742,2.111144746
854.601227,2.106564597
887.7300613,2.103522674
924.5398773,2.102018979
