w	n
499.5	2.089
503.3	2.005
511.1	1.97
514.9	1.97
538.1	2.021
549.6	2.079
553.5	2.102
561.2	2.128
568.9	2.038
572.8	1.953
576.6	1.871
584.4	1.753
592.1	1.684
607.5	1.604
622.9	1.566
626.8	1.574
642.2	1.611
653.8	1.639
673.1	1.669
700.1	1.7
773.4	1.748
792.7	1.766
796.6	1.772
819.7	1.81
823.6	1.82
839	1.862
854.4	1.914
866	1.961
873.7	1.992
881.4	2.011
889.2	1.989
896.9	1.923
900.7	1.878
904.6	1.831
908.4	1.786
923.9	1.695
931.6	1.716
939.3	1.762
947	1.808
958.6	1.867
970.2	1.912
985.6	1.965
989.5	1.978
997.2	2.007
1008.8	2.033
1028	1.958
1043.5	1.793
1055.1	1.671
1070.5	1.599
1085.9	1.647
1101.3	1.698
1109.1	1.704
1132.2	1.607
1147.6	1.481
1166.9	1.346
1193.9	1.227
1217.1	1.138
1236.4	1.105
1248	1.113
1259.5	1.133
1271.1	1.149
1282.7	1.155
1302	1.147
1321.3	1.139
1348.3	1.169
1363.7	1.201
1398.4	1.268
1456.3	1.346
1521.9	1.411
1541.2	1.429
1579.8	1.466
1595.2	1.479
1618.3	1.494
1637.6	1.499
1672.4	1.479
1707.1	1.445
1726.4	1.428
1757.2	1.409
1815.1	1.399
1869.1	1.406
1930.8	1.422
1988.7	1.441
2054.3	1.46
2146.9	1.471
2197.1	1.459
2270.4	1.439
2332.1	1.45
2397.7	1.462
2548.1	1.445
2679.3	1.427
2845.2	1.379
2976.4	1.323
3026.6	1.308
3092.1	1.291
3242.6	1.279
3350.6	1.281
3396.9	1.281
3443.2	1.282
3485.7	1.287
3489.5	1.286
3493.4	1.287
3497.2	1.287
3539.7	1.291
3547.4	1.291
3586	1.299
3593.7	1.301
3609.1	1.306
3620.7	1.31
3632.3	1.314
3647.7	1.319
3701.7	1.332
3802	1.348
3902.3	1.36
3998.8	1.369
4500.4	1.398
5001.9	1.413
5499.6	1.423
6001.2	1.43
6498.9	1.436
6996.6	1.439
