w	n	
748	1.588	
750.6	1.593	
753.2	1.597	
756.2	1.597	
758.9	1.603	
761.7	1.599	
764.4	1.61	
767.2	1.616	
770.4	1.614	
773.3	1.62	
776.2	1.626	
779.1	1.627	
782.1	1.636	
785.1	1.639	
788.6	1.641	
791.6	1.648	
794.3	1.654	
797.1	1.66	
799.5	1.661	
802	1.669	
804.8	1.674	
807.3	1.674	
809.8	1.682	
812.3	1.689	
814.8	1.69	
817.4	1.694	
820.4	1.705	
823.1	1.716	
825.7	1.722	
828.4	1.727	
831.6	1.735	
834.3	1.742	
837.1	1.752	
839.9	1.76	
842.7	1.766	
846	1.773	
848.9	1.788	
851.9	1.811	
855.3	1.807	
858.3	1.843	
861.8	1.861	
863.8	1.865	
866.4	1.873	
868.4	1.89	
870.5	1.903	
872.6	1.91	
874.7	1.922	
875.8	1.91	
876.8	1.932	
877.9	1.915	
879	1.941	
880.6	1.936	
881.1	1.956	
882.8	1.947	
883.3	1.959	
885.5	1.949	
888.3	1.942	
890.5	1.936	
893.3	1.926	
895.6	1.916	
897.9	1.905	
900.8	1.876	
903.1	1.849	
903.7	1.845	
906.6	1.808	
909	1.793	
912	1.78	
915.1	1.769	
917.5	1.769	
920.6	1.78	
923.1	1.796	
924.3	1.803	
926.2	1.811	
928.1	1.825	
930.7	1.845	
932.6	1.862	
935.2	1.894	
937.2	1.904	
939.8	1.912	
941.8	1.931	
943.8	1.942	
946.5	1.946	
948.6	1.936	
951.3	1.907	
953.4	1.893	
955.5	1.87	
958.3	1.842	
960.4	1.808	
963.3	1.755	
965.4	1.71	
966.9	1.681	
968.3	1.652	
969.8	1.624	
971.2	1.597	
973.4	1.552	
974.9	1.51	
976.4	1.48	
978.7	1.446	
980.2	1.418	
982.4	1.378	
984	1.359	
985.5	1.337	
987	1.32	
989.4	1.296	
990.9	1.283	
993.3	1.275	
994.8	1.271	
996.4	1.273	
998.8	1.28	
1000.4	1.288	
1002	1.299	
1004.5	1.323	
1006.1	1.341	
1008.6	1.36	
1010.2	1.374	
1011.9	1.389	
1013.6	1.393	
1016.1	1.415	
1017.8	1.423	
1019.5	1.432	
1021.2	1.448	
1022.9	1.465	
1026.4	1.486	
1029	1.501	
1031.7	1.513	
1035.2	1.515	
1037.9	1.519	
1041.5	1.525	
1044.3	1.523	
1047	1.522	
1048	1.519	
1050.8	1.513	
1053.6	1.519	
1057.4	1.515	
1060.3	1.516	
1063.2	1.521	
1067.1	1.524	
1070.9	1.566	
1074.9	1.576	
1077.9	1.585	
1078.9	1.59	
1080.9	1.597	
1085	1.621	
1088.1	1.627	
1091.2	1.628	
1095.4	1.644	
1098.6	1.65	
1101.8	1.66	
1106.2	1.663	
1109.5	1.664	
1113.9	1.671	
1117.2	1.661	
1121.8	1.662	
1125.2	1.661	
1128.7	1.652	
1132.2	1.641	
1138.1	1.611	
1142.9	1.603	
1146.5	1.591	
1151.4	1.572	
1155.1	1.554	
1160.1	1.519	
1165.2	1.492	
1169.1	1.465	
1174.3	1.427	
1175.6	1.417	
1183.5	1.362	
1191.7	1.303	
1200	1.259	
1208.5	1.232	
1217.2	1.219	
1226	1.221	
1233.6	1.227	
1241.3	1.228	
1250.7	1.231	
1258.7	1.232	
1268.6	1.243	
1277	1.243	
1287.3	1.259	
1296	1.268	
1303.2	1.279	
1306.8	1.285	
1312.3	1.298	
1316	1.302	
1319.7	1.307	
1325.4	1.318	
1329.2	1.32	
1335	1.321	
1338.9	1.318	
1344.8	1.3	
1348.8	1.286	
1354.8	1.266	
1361	1.233	
1365.1	1.207	
1369.3	1.172	
1375.6	1.12	
1382	1.08	
1388.5	1.042	
1392.9	1.021	
1399.6	0.998	
1404.1	0.993	
1411	1.002	
1417.9	1.032	
1422.6	1.058	
1427.3	1.082	
1449.3	1.164	
1472.3	1.214	
1496.4	1.262	
1518.9	1.287	
1545.5	1.306	
1567.1	1.319	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
